TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,add_upper,model,threshold,group_threshold,projection_lr
4707000,1950630,676938,40249420850,1.0,0.9999347297621799,0.7070083498181785,0.8742671256615511,0.7817918729520938,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.38,True,
4902684,36021664,481254,40215349816,1.0,0.9990932473911278,0.1197987076055555,0.9106130122597994,0.21174111259483888,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.4,False,
4622760,1230788,761178,40250140692,1.0,0.9999505184662967,0.7897364128559294,0.8586205858982774,0.8227391784959732,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.4,True,
4863504,10368016,520434,40241003464,1.0,0.9997295248986924,0.31930523020683427,0.9033358110736045,0.4718307980351443,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.42,False,
4591718,1207660,792220,40250163820,1.0,0.9999503218781733,0.7917604267216243,0.8528549177200777,0.8211728971979331,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.42,True,
4831408,4760140,552530,40246611340,1.0,0.9998680303480786,0.5037151458763486,0.8973743754107124,0.6452422312037153,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.44,False,
4569464,762106,814474,40250609374,1.0,0.9999608368835583,0.8570578647565351,0.8487215120233554,0.8528693180015358,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.44,True,
4802230,4076270,581708,40247295210,1.0,0.9998842932583206,0.540883032043701,0.8919549222149289,0.6734094128928027,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.46,False,
4394386,737908,989552,40250633572,1.0,0.9999570889411712,0.8562225780518419,0.8162029354721395,0.8357339396848604,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.46,True,
4499494,2579808,884444,40248791672,1.0,0.9999139460703171,0.6355844121355467,0.8357254485471415,0.7220424223556635,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.48,False,
4219186,624238,1164752,40250747242,1.0,0.9999555605020468,0.871116383781391,0.7836616989274393,0.82507806020751,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.48,True,
