TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,fold,threshold,d,half,model_size
1273181208,1029042866108,137371456,130362662664,1.0,0.11339939718026516,0.001235719089610096,0.9026116078428108,0.0024680592862967392,1,0.1,0,1e-05,10,True,8,0,0.2,128.0,True,base
1269281366,908233994862,141271298,251171533910,1.0,0.21746839944163712,0.0013955764637419608,0.8998468461295253,0.0027868308192091104,1,0.1,0,1e-05,10,True,8,0,0.22,128.0,True,base
1267829758,716794193898,142722906,442611334874,1.0,0.3823854370477832,0.0017656270854498994,0.8988177402782885,0.003524331016158445,1,0.1,0,1e-05,10,True,8,0,0.24,128.0,True,base
1262026982,530306888278,148525682,629098640494,1.0,0.543032335231095,0.002374154969883293,0.8947039087652242,0.004735743337039611,1,0.1,0,1e-05,10,True,8,0,0.26,128.0,True,base
1261065614,381495993818,149487050,777909534954,1.0,0.6712265732949863,0.0032946893673793595,0.8940223546307804,0.006565184436656108,1,0.1,0,1e-05,10,True,8,0,0.28,128.0,True,base
1259858062,155440503072,150694602,1003965025700,1.0,0.8659639540128319,0.008039918050492883,0.8931662703236722,0.015936383286097183,1,0.1,0,1e-05,10,True,8,0,0.3,128.0,True,base
1252018224,63769756796,158534440,1095635771976,1.0,0.9449281481723472,0.019255368276471885,0.887608280040794,0.037693040953058296,1,0.1,0,1e-05,10,True,8,0,0.32,128.0,True,base
1251804036,4655047338,158748628,1154750481434,1.0,0.9958530933168629,0.21192407879264172,0.8874564331757556,0.34214429857891093,1,0.1,0,1e-05,10,True,8,0,0.34,128.0,True,base
1251290292,746488312,159262372,1158659040460,1.0,0.9992197293796279,0.6263408214977559,0.8870922184866399,0.73425391701098,1,0.1,0,1e-05,10,True,8,0,0.36,128.0,True,base
1250399400,404872426,160153264,1159000656346,1.0,0.999513251324619,0.7554042667551571,0.886460627747253,0.8157018799207257,1,0.1,0,1e-05,10,True,8,0,0.38,128.0,True,base
1246303868,288400048,164248796,1159117128724,1.0,0.9996100598094402,0.8120809851377222,0.8835571331776947,0.8463125939268762,1,0.1,0,1e-05,10,True,8,0,0.4,128.0,True,base
1246021914,64901602,164530750,1159340627170,1.0,0.9998023525382969,0.9504916944368859,0.883357244150368,0.9156956236890524,1,0.1,0,1e-05,10,True,8,0,0.42,128.0,True,base
1208921650,40286384,201631014,1159365242388,1.0,0.9997915971342327,0.9677504603688772,0.8570553094925069,0.9090454272138433,1,0.1,0,1e-05,10,True,8,0,0.44,128.0,True,base
1196583876,26301258,213968788,1159379227514,1.0,0.9997930162668812,0.9784924542226057,0.8483085435511254,0.9087618298095073,1,0.1,0,1e-05,10,True,8,0,0.46,128.0,True,base
