,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,test_set,training_set,seed,threshold,unite_hash
1009,259024,10332361826,0,0,1.0,2.5068567187384988e-05,2.5068567187384988e-05,1.0,5.013587754015536e-05,opensecrets_gold,canlobby_gold,5,0.0,True
1010,259004,10328906054,20,3455772,1.0,0.00035951924046453325,2.507501802378498e-05,0.9999227870776454,5.014877846894466e-05,opensecrets_gold,canlobby_gold,5,0.05,False
1011,259022,10330328938,2,2032888,1.0,0.00022181303594431224,2.5073306669758996e-05,0.9999922787077645,5.014535601992031e-05,opensecrets_gold,canlobby_gold,5,0.05,True
1012,258692,10304529004,332,27832822,1.0,0.0027187210687209143,2.5104059164694508e-05,0.9987182654889122,5.0206856315931385e-05,opensecrets_gold,canlobby_gold,5,0.1,False
1013,258988,10316510640,36,15851186,1.0,0.0015591566006218063,2.5103594374841846e-05,0.9998610167397616,5.020592822523452e-05,opensecrets_gold,canlobby_gold,5,0.1,True
1014,256936,10171978782,2088,160383044,1.0,0.015546876473261863,2.5258557422666284e-05,0.9919389709061709,5.0515828519265313e-05,opensecrets_gold,canlobby_gold,5,0.15000000000000002,False
1015,258800,10252822588,224,79539238,1.0,0.007722923269752998,2.5241192399281478e-05,0.9991352152696276,5.048110949230035e-05,opensecrets_gold,canlobby_gold,5,0.15000000000000002,True
1016,252912,9846441698,6112,485920128,1.0,0.04705224812347585,2.5684964347645185e-05,0.9764037309284082,5.1368577409917765e-05,opensecrets_gold,canlobby_gold,5,0.2,False
1017,258312,10107731866,712,224629960,1.0,0.021764881849893874,2.5555228631129364e-05,0.9972512199641732,5.110914755621396e-05,opensecrets_gold,canlobby_gold,5,0.2,True
1018,244278,9221427258,14746,1110934568,1.0,0.10754085165139879,2.648955767361437e-05,0.9430709123478905,5.297762727894581e-05,opensecrets_gold,canlobby_gold,5,0.25,False
1019,257002,9821049034,2022,511312792,1.0,0.04951016798414702,2.6167802841898937e-05,0.9921937735499413,5.233422543759029e-05,opensecrets_gold,canlobby_gold,5,0.25,True
1020,228682,8332095936,30342,2000265890,1.0,0.19360959828502755,2.744516212270308e-05,0.882860275495707,5.488861794254042e-05,opensecrets_gold,canlobby_gold,5,0.30000000000000004,False
1021,254634,9413305838,4390,919055988,1.0,0.08897167866175985,2.7049701412912962e-05,0.9830517635431466,5.409791426491571e-05,opensecrets_gold,canlobby_gold,5,0.30000000000000004,True
1022,207450,7170616034,51574,3161745792,1.0,0.3060165748750957,2.8929731775280163e-05,0.800891037123973,5.785737363043041e-05,opensecrets_gold,canlobby_gold,5,0.35000000000000003,False
1023,251054,8891014658,7970,1441347168,1.0,0.13951912519852114,2.8236024895889422e-05,0.9692306504416579,5.6470404672785244e-05,opensecrets_gold,canlobby_gold,5,0.35000000000000003,True
1024,181122,6034138404,77902,4298223422,1.0,0.41600331671901036,3.0015314770721342e-05,0.6992479461362654,6.0028052828975103e-05,opensecrets_gold,canlobby_gold,5,0.4,False
1025,244972,8320754494,14052,2011607332,1.0,0.19470880943047475,2.9440213402364376e-05,0.9457502007535982,5.88785939757533e-05,opensecrets_gold,canlobby_gold,5,0.4,True
1026,154340,4978214208,104684,5354147618,1.0,0.5181939834751607,3.1002124192272635e-05,0.5958521218111064,6.200102247776648e-05,opensecrets_gold,canlobby_gold,5,0.45,False
1027,238760,7737869736,20264,2594492090,1.0,0.25112030022857174,3.085508559661839e-05,0.9217678670702328,6.170810558762398e-05,opensecrets_gold,canlobby_gold,5,0.45,True
1028,130470,4053001934,128554,6279359892,1.0,0.6077345189725025,3.2189918067132556e-05,0.5036984989807894,6.437572206757035e-05,opensecrets_gold,canlobby_gold,5,0.5,False
1029,230948,6970773202,28076,3361588624,1.0,0.3253598114944864,3.312980383177652e-05,0.8916084995984928,6.625714572398957e-05,opensecrets_gold,canlobby_gold,5,0.5,True
1030,112242,3194370346,146782,7137991480,1.0,0.6908318640183144,3.5136206539874244e-05,0.4333266415467293,7.026671551677275e-05,opensecrets_gold,canlobby_gold,5,0.55,False
1031,220782,5860384466,38242,4471977360,1.0,0.4328232117410947,3.767221825345504e-05,0.8523611711656063,7.534110661964156e-05,opensecrets_gold,canlobby_gold,5,0.55,True
1032,95958,2219685588,163066,8112676238,1.0,0.7851611235691475,4.322857813324663e-05,0.3704598801655445,8.644706884793551e-05,opensecrets_gold,canlobby_gold,5,0.6000000000000001,False
1033,206166,4299846090,52858,6032515736,1.0,0.5838520535668353,4.794499874096414e-05,0.7959339675088023,9.588422166499538e-05,opensecrets_gold,canlobby_gold,5,0.6000000000000001,True
1034,79434,1200039886,179590,9132321940,1.0,0.8838417190155584,6.618841866490409e-05,0.3066665637161035,0.00013234827235437033,opensecrets_gold,canlobby_gold,5,0.65,False
1035,185322,2442178998,73702,7890182828,1.0,0.7636366672643369,7.587811469502634e-05,0.7154626598307493,0.00015174013664875547,opensecrets_gold,canlobby_gold,5,0.65,True
