TP,FP,TN,FN,coverage,accuracy,precision,recall,F1,threshold,model
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.16,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.17,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.18,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.19,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.2,TFIDF-top1
1726851,4417483,20121268257,965118,1.0,0.9997325864469647,0.2810477099714957,0.6414824984983111,0.3908537314757088,0.21,TFIDF-top1
1726851,4414351,20121271389,965118,1.0,0.9997327420481783,0.2811910437077302,0.6414824984983111,0.39099231748145713,0.22,TFIDF-top1
1726851,4414351,20121271389,965118,1.0,0.9997327420481783,0.2811910437077302,0.6414824984983111,0.39099231748145713,0.23,TFIDF-top1
1726851,4414409,20121271331,965118,1.0,0.9997327391666744,0.2811883880506606,0.6414824984983111,0.3909897501808229,0.24,TFIDF-top1
1726851,4414223,20121271517,965118,1.0,0.9997327484073595,0.2811969046456695,0.6414824984983111,0.39099798336767977,0.25,TFIDF-top1
1726851,4414130,20121271610,965118,1.0,0.999732753027702,0.2812011631366389,0.6414824984983111,0.391002100091136,0.26,TFIDF-top1
1726851,4412639,20121273101,965118,1.0,0.9997328271022261,0.2812694539774476,0.6414824984983111,0.3910681123017159,0.27,TFIDF-top1
1726851,4411788,20121273952,965118,1.0,0.9997328693808445,0.2813084463836365,0.6414824984983111,0.39110579928358274,0.28,TFIDF-top1
1726851,4402933,20121282807,965118,1.0,0.9997333093070089,0.28171482062010667,0.6414824984983111,0.3914983790636623,0.29,TFIDF-top1
1726851,4402669,20121283071,965118,1.0,0.99973332242282,0.28172695414975396,0.6414824984983111,0.39151009540452864,0.3,TFIDF-top1
1726851,4402667,20121283073,965118,1.0,0.9997333225221822,0.28172704607442217,0.6414824984983111,0.39151018416736316,0.31,TFIDF-top1
1726851,4394295,20121291445,965118,1.0,0.9997337384523739,0.28211236915440346,0.6414824984983111,0.3918820984407897,0.32,TFIDF-top1
1726851,4419207,20121266533,965118,1.0,0.9997325007967437,0.2809688746835777,0.6414824984983111,0.39077748913869575,0.33,TFIDF-top1
1726851,4417373,20121268367,965118,1.0,0.999732591911886,0.2810527415667137,0.6414824984983111,0.3908585971356669,0.34,TFIDF-top1
1726851,4417286,20121268454,965118,1.0,0.9997325962341419,0.28105672122870956,0.6414824984983111,0.3908624455161584,0.35000000000000003,TFIDF-top1
1726851,4416882,20121268858,965118,1.0,0.9997326163053074,0.2810752029751293,0.6414824984983111,0.39088031714967303,0.36,TFIDF-top1
1726851,4424148,20121261592,965118,1.0,0.9997322553224153,0.2807431768400548,0.6414824984983111,0.39055914258651625,0.37,TFIDF-top1
1726851,4363670,20121322070,965118,1.0,0.9997352599361439,0.2835309163206235,0.6414824984983111,0.39324861172628717,0.38,TFIDF-top1
1726851,4356017,20121329723,965118,1.0,0.9997356401456228,0.2838876332677283,0.6414824984983111,0.3935915846641937,0.39,TFIDF-top1
1726851,4352693,20121333047,965118,1.0,0.9997358052856081,0.28404284926632656,0.6414824984983111,0.39374073777237745,0.4,TFIDF-top1
1726851,4345020,20121340720,965118,1.0,0.9997361864887091,0.2844017931210989,0.6414824984983111,0.39408546938328404,0.41000000000000003,TFIDF-top1
1726851,4343533,20121342207,965118,1.0,0.9997362603645088,0.28447146012509256,0.6414824984983111,0.39415234697803203,0.42,TFIDF-top1
1726835,4336737,20121349003,965134,1.0,0.9997365972023851,0.28478840525023863,0.6414765548934628,0.39445535118846453,0.43,TFIDF-top1
1717610,4308522,20121377218,974359,1.0,0.9997375406465252,0.2850269459746318,0.6380496952230876,0.3940330583460779,0.44,TFIDF-top1
1716913,4282946,20121402794,975056,1.0,0.9997387766626791,0.28615889140061457,0.6377907769368815,0.3950637311276753,0.45,TFIDF-top1
1716913,4272643,20121413097,975056,1.0,0.9997392885270802,0.28665113073489923,0.6377907769368815,0.39553258212122866,0.46,TFIDF-top1
1716913,4080248,20121605492,975056,1.0,0.9997488469228327,0.2961644501506858,0.6377907769368815,0.4044968094492604,0.47000000000000003,TFIDF-top1
1716888,4065499,20121620241,975081,1.0,0.9997495784273888,0.29691682690902566,0.637781490054306,0.4051960998570275,0.48,TFIDF-top1
1716888,4012395,20121673345,975081,1.0,0.9997522166926662,0.2996689114501762,0.637781490054306,0.40775124648923927,0.49,TFIDF-top1
1716603,3813713,20121872027,975366,1.0,0.9997620732743971,0.3103987186265667,0.6376756195929448,0.4175488930388571,0.5,TFIDF-top1
1716603,3712633,20121973107,975366,1.0,0.9997670950402573,0.3161776353063304,0.6376756195929448,0.42274588561672805,0.51,TFIDF-top1
1716400,3638999,20122046741,975569,1.0,0.9997707431733092,0.32049899549968175,0.6376002101064314,0.42657425384299563,0.52,TFIDF-top1
1716400,3617365,20122068375,975569,1.0,0.9997718179742848,0.32179895439712847,0.6376002101064314,0.4277241184420017,0.53,TFIDF-top1
1716729,3495748,20122189992,975240,1.0,0.9997778763860338,0.3293499424553816,0.6377224254811256,0.4343704796009739,0.54,TFIDF-top1
1707268,3229333,20122456407,984701,1.0,0.9997906421440951,0.3458387663900728,0.6342078976392374,0.4475984358798569,0.55,TFIDF-top1
1717964,2883044,20122802696,974005,1.0,0.9998083775525399,0.3733886139732859,0.6381811974803573,0.47112831975200253,0.56,TFIDF-top1
1718109,2865992,20122819748,973860,1.0,0.9998092319184629,0.3747973703022687,0.6382350613992954,0.47226291115945834,0.5700000000000001,TFIDF-top1
