,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
154,603934,10074,418448,1501610766,1.0,0.9997148211939294,0.9835930476475877,0.5907126690415129,0.7381296634665331,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.35000000000000003,124.24998474121094
155,583764,7178,438618,1501613662,1.0,0.9997033254511296,0.9878532918628224,0.5709842309430331,0.7236785667355101,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.4,124.24998474121094
156,459344,5242,563038,1501615598,1.0,0.9996218130879773,0.9887168360647974,0.4492880351962378,0.6178263419253138,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.45,124.24998474121094
157,452542,4606,569840,1501616234,1.0,0.9996177096521719,0.9899244883495061,0.4426349446684312,0.6117375112366765,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.5,124.24998474121094
158,448570,4606,573812,1501616234,1.0,0.9996150663101318,0.9898361784383992,0.4387498997439313,0.6080004987943544,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.55,124.24998474121094
159,445242,4598,577140,1501616242,1.0,0.9996128568701587,0.9897785879423795,0.4354947563630815,0.6048571479029657,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.6000000000000001,124.24998474121094
160,444560,4256,577822,1501616584,1.0,0.9996126306022096,0.9905172721115112,0.4348276867159242,0.6043510118964273,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.65,124.24998474121094
161,437992,0,584390,1501620840,1.0,0.999611091980156,1.0,0.4284034734570836,0.599835384634347,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.7000000000000001,124.24998474121094
162,435410,0,586972,1501620840,1.0,0.9996093736747311,1.0,0.4258779986345613,0.5973554526297304,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.75,124.24998474121094
163,423356,0,599026,1501620840,1.0,0.9996013518104433,1.0,0.414087884958851,0.5856607490430493,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.8,124.24998474121094
164,184070,0,838312,1501620840,1.0,0.9994421084208637,1.0,0.1800403371733853,0.30514268284192,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.8500000000000001,124.24998474121094
165,176618,0,845764,1501620840,1.0,0.9994371491598156,1.0,0.17275147645400643,0.29460884070058385,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.9,124.24998474121094
166,146366,0,876016,1501620840,1.0,0.9994170166363017,1.0,0.1431617536302478,0.25046631095839306,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,0.9500000000000001,124.24998474121094
167,0,0,1022382,1501620840,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,2,1.0,124.24998474121094
168,1005886,1488790726,165568,123160304,1.0,0.07697257414211331,0.0006751834390666476,0.8586645314284641,0.001349305894523431,1,0.1,0,1e-05,100,True,8,0,1.0,1e-06,3,0.0,149.9590301513672
