,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
84,788606,1523318038,0,119017752,1.0,0.07291374791321642,0.0005174217979460497,1.0,0.0010343084221686703,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.0,24.04096031188965
85,788596,591298970,10,1051036820,1.0,0.6401374226811736,0.0013318908304857054,0.9999873193965048,0.0026602384688180717,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.05,24.04096031188965
86,728944,96475242,59662,1545860548,1.0,0.9412491809901896,0.007499100913205528,0.9243449834264512,0.014877502418749333,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.1,24.04096031188965
87,726996,1957230,61610,1640378560,1.0,0.9987713407427249,0.27084008574538804,0.9218748018655704,0.4186761697657704,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.15000000000000002,24.04096031188965
88,650716,445638,137890,1641890152,1.0,0.9996448668150625,0.5935272731252862,0.8251471584035628,0.6904295051353876,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.2,24.04096031188965
89,624248,109246,164358,1642226544,1.0,0.9998334855226627,0.8510608130400521,0.7915841370722515,0.8202457131594507,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.25,24.04096031188965
90,612674,81756,175932,1642254034,1.0,0.9998431719469157,0.8822689111933528,0.7769076065868127,0.8262429233005808,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.30000000000000004,24.04096031188965
91,605362,37926,183244,1642297864,1.0,0.9998653966793151,0.9410435139470968,0.7676355493110628,0.8455402425039842,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.35000000000000003,24.04096031188965
92,597846,37872,190760,1642297918,1.0,0.9998608553311261,0.9404264154861117,0.7581048077240092,0.8394803429556759,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.4,24.04096031188965
93,590452,80,198154,1642335710,1.0,0.9998793554520384,0.9998645289332331,0.748728769499598,0.8562623899856288,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.45,24.04096031188965
94,554732,80,233874,1642335710,1.0,0.9998576163797643,0.999855807012105,0.7034336538144523,0.8258516708872444,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,4,0.5,24.04096031188965
