,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,fold,threshold,alpha
490,503020,8,285586,1642335782,1.0,0.9998261884488507,0.9999840963127301,0.6378597170196524,0.778889375782923,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.62,109.35440826416016
491,503020,8,285586,1642335782,1.0,0.9998261884488507,0.9999840963127301,0.6378597170196524,0.778889375782923,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.64,109.35440826416016
492,502502,8,286104,1642335782,1.0,0.999825873195787,0.9999840799188076,0.6372028617585969,0.7783994621707113,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.66,109.35440826416016
493,474820,8,313786,1642335782,1.0,0.9998090260233712,0.9999831517939127,0.6021004151629584,0.7516340386597163,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.68,109.35440826416016
494,474796,8,313810,1642335782,1.0,0.9998090114170516,0.9999831509422835,0.6020699817145697,0.7516103244394139,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.7000000000000001,109.35440826416016
495,474444,8,314162,1642335782,1.0,0.9998087971910314,0.9999831384418234,0.6016236244715358,0.7512624123357756,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.72,109.35440826416016
496,439784,0,348822,1642335790,1.0,0.9997877080999776,1.0,0.55767265275689,0.7160331816442661,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.74,109.35440826416016
497,414156,0,374450,1642335790,1.0,0.9997721109850772,1.0,0.5251748021191824,0.6886748999386412,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.76,109.35440826416016
498,409336,0,379270,1642335790,1.0,0.9997691775492329,1.0,0.5190627512344568,0.683398695429328,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.78,109.35440826416016
499,409266,0,379340,1642335790,1.0,0.9997691349474674,1.0,0.5189739870099898,0.6833217572495225,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.8,109.35440826416016
500,398428,0,390178,1642335790,1.0,0.9997625389769942,1.0,0.5052307489418036,0.6713000638566375,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.8200000000000001,109.35440826416016
501,392888,0,395718,1642335790,1.0,0.9997591673515631,1.0,0.49820569460541764,0.6650698183824886,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.84,109.35440826416016
502,383904,0,404702,1642335790,1.0,0.9997536997192755,1.0,0.4868134404252567,0.6548413233149397,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.86,109.35440826416016
503,377712,0,410894,1642335790,1.0,0.9997499312888298,1.0,0.47896161074097837,0.6476998554425122,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.88,109.35440826416016
504,374910,0,413696,1642335790,1.0,0.9997482260010215,1.0,0.4754085056416005,0.6444432220957855,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.9,109.35440826416016
505,349014,0,439592,1642335790,1.0,0.9997324657822194,1.0,0.4425708148302194,0.6135862590320141,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.92,109.35440826416016
506,321540,0,467066,1642335790,1.0,0.9997157451979065,1.0,0.4077321247872829,0.5792751584025885,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.9400000000000001,109.35440826416016
507,281840,0,506766,1642335790,1.0,0.9996915839109725,1.0,0.3573901289110151,0.5265842461927085,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.96,109.35440826416016
508,204010,0,584596,1642335790,1.0,0.9996442168338422,1.0,0.2586969919072388,0.41105523183184633,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,0.98,109.35440826416016
509,0,0,788606,1642335790,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,10,True,8,1e-06,1e-05,4,1.0,109.35440826416016
510,1056436,1519657994,0,0,1.0,0.0006946971628328666,0.0006946971628328666,1.0,0.001388429787431612,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.0,88.544677734375
511,1056436,1433030068,0,86627926,1.0,0.05765997893503253,0.000736661280231949,1.0,0.0014722380197194852,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.02,88.544677734375
512,1056436,1075416686,0,444241308,1.0,0.29282141026306957,0.0009813863239216112,1.0,0.0019608482981401426,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.04,88.544677734375
513,1056266,592392740,170,927265254,1.0,0.6104509181253709,0.0017798766015626286,0.9998390815913126,0.0035534275227038213,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.06,88.544677734375
514,1055310,198983402,1126,1320674592,1.0,0.8691506281031344,0.005275528868632188,0.9989341521871652,0.010495628666286866,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.08,88.544677734375
515,1055310,23271884,1126,1496386110,1.0,0.9846960023914549,0.043379848904892195,0.9989341521871652,0.08314886405135909,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.1,88.544677734375
516,1054680,2832468,1756,1516825526,1.0,0.998136254944329,0.27132488909606733,0.9983378074961474,0.42668638785140495,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.12,88.544677734375
517,1001092,510136,55344,1519147858,1.0,0.9996281484617726,0.6624361115596058,0.9476125387624049,0.7797686924768972,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.14,88.544677734375
518,1001064,197136,55372,1519460858,1.0,0.9998339543605173,0.8354732098147221,0.9475860345539152,0.888004981735411,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.16,88.544677734375
519,1001060,154706,55376,1519503288,1.0,0.9998618530896691,0.8661441848955584,0.9475822482384167,0.9050348928352836,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.18,88.544677734375
520,999764,35198,56672,1519622796,1.0,0.999939587605544,0.9659910218925912,0.9463554820168946,0.9560724453212637,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.2,88.544677734375
521,938444,33098,117992,1519624896,1.0,0.9999006453828415,0.9659325072925309,0.8883112654245028,0.9254972193978435,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.22,88.544677734375
522,936158,24834,120278,1519633160,1.0,0.9999045764299087,0.9741579534481036,0.8861473861170956,0.9280707911261269,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.24,88.544677734375
523,936098,12010,120338,1519645984,1.0,0.9999129698532551,0.9873326667426073,0.8860905913846178,0.9339760065132019,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.26,88.544677734375
524,923754,11788,132682,1519646206,1.0,0.9999049985999015,0.9873998174320341,0.8744060217561689,0.9274740986095229,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.28,88.544677734375
525,923406,11272,133030,1519646722,1.0,0.9999051090742921,0.9879402318231519,0.8740766123077972,0.927527002471983,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.3,88.544677734375
526,913064,5046,143372,1519652948,1.0,0.9999024024517214,0.9945039265447495,0.8642870935863601,0.9248343669886646,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.32,88.544677734375
527,912644,5046,143792,1519652948,1.0,0.9999021262657447,0.994501411151914,0.8638895304590151,0.9246056229440268,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.34,88.544677734375
528,897704,5046,158732,1519652948,1.0,0.9998923019360052,0.9944104126280808,0.8497476420720232,0.916405078435636,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.36,88.544677734375
529,892268,5046,164168,1519652948,1.0,0.999888727300365,0.9943765504605968,0.8446020393095275,0.913390147152911,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.38,88.544677734375
530,845258,3870,211178,1519654124,1.0,0.9998585875192886,0.995442383244929,0.8001033664131098,0.8871473222625952,1,0.1,0,1e-05,10,True,8,1e-06,0.0001,0,0.4,88.544677734375
