,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,seed,threshold,train_counts,test_counts
3195,928,176,582,7156614,1.0,0.9998941089364793,0.8405797101449275,0.614569536423841,0.7100229533282326,12,0.32,False,False
3196,1078440,2087590,1165192,9122181126,1.0,0.9996435898099987,0.34062848425314984,0.48066706126494896,0.39870882875861746,12,0.34,False,True
3197,918,146,592,7156644,1.0,0.999896902895939,0.8627819548872181,0.6079470198675496,0.7132867132867133,12,0.34,False,False
3198,1075994,1915436,1167638,9122353280,1.0,0.9996621848651007,0.3596921873485256,0.47957686465516625,0.4110721133770717,12,0.36,False,True
3199,912,132,598,7156658,1.0,0.9998980204797229,0.8735632183908046,0.6039735099337749,0.7141738449490995,12,0.36,False,False
3200,1075430,1915324,1168202,9122353392,1.0,0.9996621353390623,0.3595849073511228,0.4793254865325508,0.4109097036405034,12,0.38,False,True
3201,900,130,610,7156660,1.0,0.999896623499993,0.8737864077669902,0.5960264900662252,0.7086614173228347,12,0.38,False,False
3202,1042154,1914100,1201478,9122354616,1.0,0.999658623373179,0.35252518897226015,0.46449417729823783,0.40083724912430774,12,0.4,False,True
3203,890,122,620,7156668,1.0,0.999896344104047,0.8794466403162056,0.5894039735099338,0.7057890563045202,12,0.4,False,False
3204,906124,1784748,1337508,9122483968,1.0,0.9996578916588346,0.3367399118204062,0.40386480492344556,0.3672604176630519,12,0.42,False,True
3205,872,118,638,7156672,1.0,0.9998943883324253,0.8808080808080808,0.5774834437086093,0.6975999999999999,12,0.42,False,False
3206,898414,1607426,1345218,9122661290,1.0,0.999676476195132,0.35852807840883694,0.4004284125025851,0.37832163238355754,12,0.44,False,True
3207,856,100,654,7156690,1.0,0.9998946677283712,0.895397489539749,0.5668874172185431,0.694241686942417,12,0.44,False,False
3208,897694,1590632,1345938,9122678084,1.0,0.999678237437476,0.36076221524028607,0.4001075042609483,0.3794175687949893,12,0.46,False,True
3209,842,86,668,7156704,1.0,0.9998946677283712,0.9073275862068966,0.5576158940397351,0.6907301066447907,12,0.46,False,False
3210,881984,1590584,1361648,9122678132,1.0,0.9996765213383351,0.3567076820536382,0.3931054647107904,0.37402315423434124,12,0.48,False,True
3211,822,84,688,7156706,1.0,0.9998921531648576,0.9072847682119205,0.5443708609271524,0.6804635761589404,12,0.48,False,False
3212,881784,1560854,1361848,9122707862,1.0,0.9996797569664561,0.36099659466527584,0.39301632353255794,0.3763265880967166,12,0.5,False,True
3213,820,72,690,7156718,1.0,0.9998935501445874,0.9192825112107623,0.543046357615894,0.6827643630308078,12,0.5,False,False
3214,854162,952160,1389470,9123316556,1.0,0.9997434255375206,0.47287360725274896,0.380705035406876,0.42181318602631035,12,0.52,False,True
3215,792,60,718,7156730,1.0,0.9998913149770197,0.9295774647887324,0.5245033112582781,0.6706181202370871,12,0.52,False,False
3216,847148,69284,1396484,9124199432,1.0,0.9998393945086459,0.9243981004591721,0.3775788542862644,0.5361587613415425,12,0.54,False,True
3217,770,46,740,7156744,1.0,0.9998901973932358,0.9436274509803921,0.5099337748344371,0.6620808254514189,12,0.54,False,False
3218,846898,65000,1396734,9124203716,1.0,0.9998398365175806,0.9287200980811451,0.37746742781347387,0.5367706851147034,12,0.56,False,True
3219,762,40,748,7156750,1.0,0.9998899179972899,0.9501246882793017,0.5046357615894039,0.6591695501730104,12,0.56,False,False
3220,841748,28156,1401884,9124240560,1.0,0.9998433092570884,0.9676332101013445,0.3751720424739886,0.540702275483566,12,0.58,False,True
3221,736,36,774,7156754,1.0,0.9998868446418843,0.9533678756476683,0.48741721854304637,0.6450482033304119,12,0.58,False,False
3222,807984,28156,1435648,9124240560,1.0,0.9998396097058565,0.96632621331356,0.3601232287647885,0.5247037767730859,12,0.6,False,True
3223,712,36,798,7156754,1.0,0.9998834918905327,0.9518716577540107,0.47152317880794703,0.6306465899025687,12,0.6,False,False
3224,794268,28156,1449364,9124240560,1.0,0.9998381068316503,0.9657646177640731,0.354009926761608,0.5181040398479351,12,0.62,False,True
3225,690,36,820,7156754,1.0,0.9998804185351271,0.9504132231404959,0.45695364238410596,0.6171735241502684,12,0.62,False,False
3226,725926,27828,1517706,9124240888,1.0,0.9998306544777383,0.963080792937749,0.32354949474780176,0.48437271676053734,12,0.64,False,True
3227,676,34,834,7156756,1.0,0.9998787421594513,0.952112676056338,0.447682119205298,0.609009009009009,12,0.64,False,False
3228,724218,27828,1519414,9124240888,1.0,0.9998304673306733,0.9629969443358518,0.32278822908569677,0.48350857468659847,12,0.66,False,True
3229,668,34,842,7156756,1.0,0.9998776245756674,0.9515669515669516,0.4423841059602649,0.6039783001808318,12,0.66,False,False
3230,703042,25776,1540590,9124242940,1.0,0.9998283718971417,0.9646331457236237,0.3133499611344463,0.47303873908728483,12,0.68,False,True
3231,654,22,856,7156768,1.0,0.9998773451797215,0.9674556213017751,0.433112582781457,0.5983531564501372,12,0.68,False,False
3232,699132,24200,1544500,9124244516,1.0,0.999828116158705,0.9665437171312758,0.31160725110000215,0.4712777101441069,12,0.7000000000000001,False,True
3233,632,18,878,7156772,1.0,0.9998748306162077,0.9723076923076923,0.4185430463576159,0.5851851851851853,12,0.7000000000000001,False,False
3234,688520,22260,1555112,9124246456,1.0,0.9998271659600235,0.9686822926925349,0.306877420182989,0.46609613012673934,12,0.72,False,True
3235,612,14,898,7156776,1.0,0.99987259544864,0.9776357827476039,0.4052980132450331,0.5730337078651685,12,0.72,False,False
3236,678852,22252,1564780,9124246464,1.0,0.9998261075053114,0.9682614847440608,0.302568335627233,0.46106136509350926,12,0.74,False,True
3237,580,12,930,7156778,1.0,0.9998684045094506,0.9797297297297297,0.3841059602649007,0.5518553758325404,12,0.74,False,False
3238,672590,4990,1571042,9124263726,1.0,0.9998273127850043,0.992635555949113,0.29977732533677537,0.46048694856792316,12,0.76,False,True
3239,574,8,936,7156782,1.0,0.9998681251135046,0.9862542955326461,0.3801324503311258,0.5487571701720841,12,0.76,False,False
3240,671730,4774,1571902,9124263942,1.0,0.9998272422213568,0.9929431311566524,0.2993940182703759,0.460067613289244,12,0.78,False,True
3241,562,6,948,7156784,1.0,0.9998667281337748,0.9894366197183099,0.37218543046357616,0.5409047160731472,12,0.78,False,False
3242,657654,4774,1585978,9124263942,1.0,0.9998256999016334,0.9927931790322873,0.29312026214637693,0.4526086866754299,12,0.8,False,True
3243,540,6,970,7156784,1.0,0.9998636547783691,0.989010989010989,0.3576158940397351,0.5252918287937742,12,0.8,False,False
3244,543768,4774,1699864,9124263942,1.0,0.9998132213122602,0.9912969289498342,0.24236060102548013,0.3894943509967502,12,0.8200000000000001,False,True
3245,504,6,1006,7156784,1.0,0.9998586256513418,0.9882352941176471,0.3337748344370861,0.49900990099009906,12,0.8200000000000001,False,False
3246,527186,4558,1716446,9124264158,1.0,0.9998114280752189,0.991428206054041,0.23496990593822872,0.3799023988101072,12,0.84,False,True
3247,466,2,1044,7156788,1.0,0.9998538759202604,0.9957264957264957,0.3086092715231788,0.4711830131445905,12,0.84,False,False
3248,508176,4558,1735456,9124264158,1.0,0.9998093451327679,0.9911104003245348,0.22649703694723555,0.36872897140655486,12,0.86,False,True
3249,424,2,1086,7156788,1.0,0.9998480086053951,0.9953051643192489,0.280794701986755,0.4380165289256199,12,0.86,False,False
3250,447310,4558,1796322,9124264158,1.0,0.9998026759915145,0.9899129834376411,0.1993687021757579,0.3318938972361343,12,0.88,False,True
3251,374,2,1136,7156788,1.0,0.999841023706746,0.9946808510638298,0.247682119205298,0.3966065747613998,12,0.88,False,False
3252,411276,4558,1832356,9124264158,1.0,0.9997987277143823,0.9890388953284244,0.18330813609361962,0.3092921661717052,12,0.9,False,True
3253,332,2,1178,7156788,1.0,0.9998351563918808,0.9940119760479041,0.21986754966887417,0.36008676789587857,12,0.9,False,False
3254,220066,4558,2023566,9124264158,1.0,0.9997777766661934,0.9797083125578745,0.09808471264449785,0.17831699791269623,12,0.92,False,True
3255,266,2,1244,7156788,1.0,0.999825936325664,0.9925373134328358,0.176158940397351,0.2992125984251969,12,0.92,False,False
3256,180442,4558,2063190,9124264158,1.0,0.9997734350295978,0.9753621621621622,0.08042406241308735,0.14859558796886474,12,0.9400000000000001,False,True
3257,198,2,1312,7156788,1.0,0.9998164368635011,0.99,0.13112582781456952,0.23157894736842105,12,0.9400000000000001,False,False
3258,117118,4558,2126514,9124264158,1.0,0.9997664965631184,0.9625398599559486,0.05220018256113302,0.0990298092256907,12,0.96,False,True
3259,136,2,1374,7156788,1.0,0.9998077755891762,0.9855072463768116,0.09006622516556291,0.16504854368932037,12,0.96,False,False
3260,65636,0,2177996,9124268716,1.0,0.9997613550590904,1.0,0.029254351872321307,0.05684571907634799,12,0.98,False,True
3261,48,0,1462,7156790,1.0,0.9997957615634997,1.0,0.031788079470198675,0.061617458279845966,12,0.98,False,False
3262,2502,0,2241130,9124268716,1.0,0.9997544374110784,1.0,0.001115156139687792,0.002227827903410927,12,1.0,False,True
3263,8,0,1502,7156790,1.0,0.9997901736445804,1.0,0.005298013245033113,0.010540184453227932,12,1.0,False,False
3264,3323714,10923732310,0,0,1.0,0.00030417287078055163,0.00030417287078055163,1.0,0.000608160755558189,13,0.0,False,True
3265,1592,7383214,0,0,1.0,0.00021557776873217793,0.00021557776873217793,1.0,0.0004310626099487192,13,0.0,False,False
3266,3292364,8776076108,31350,2147656202,1.0,0.19684611859550213,0.00037501148408343053,0.9905677805009697,0.0007497391301606069,13,0.02,False,True
3267,1550,4784090,42,2599124,1.0,0.35216551389433925,0.0003238856244932757,0.9736180904522613,0.0006475558318460438,13,0.02,False,False
3268,2771006,4758123872,552708,6165608438,1.0,0.564505154037087,0.0005820346953688819,0.8337077137202539,0.0011632572882583638,13,0.04,False,True
3269,1432,1819168,160,5564046,1.0,0.7536390258593116,0.0007865538833351642,0.8994974874371859,0.001571733384846383,13,0.04,False,False
3270,2333340,2032712446,990374,8891019864,1.0,0.8138837381694384,0.0011465786254304944,0.7020279121488793,0.00228941808636756,13,0.06,False,True
3271,1370,756024,222,6627190,1.0,0.897594330846335,0.0018088339754473892,0.8605527638190955,0.0036100797643171282,13,0.06,False,False
