,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,seed,fold,threshold,half,alpha
114,1271576804,14525444700,68020750,1161917116886,1.0,0.9876093678811912,0.0804947188099998,0.9492229962671311,0.14840462983932431,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.24,False,650.4591674804688
115,1270694208,1730137344,68903346,1174712424242,1.0,0.9984725183039674,0.42344736316608816,0.9485641446610166,0.5855154764506826,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.26,False,650.4591674804688
116,1268797762,384249070,70799792,1176058312516,1.0,0.9996136391959509,0.7675510078954617,0.9471484612758557,0.8479442248037286,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.28,False,650.4591674804688
117,1268308446,134749758,71289108,1176307811828,1.0,0.9998250619909623,0.9039599657264111,0.9467831903789815,0.924876147726885,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.3,False,650.4591674804688
118,1268101188,80057602,71496366,1176362503984,1.0,0.9998713225813247,0.9406170826509243,0.9466284737632479,0.9436132042481006,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.32,False,650.4591674804688
119,1214445076,54566860,125152478,1176387994726,1.0,0.9998474086768887,0.9570005147689958,0.9065745696337693,0.9311053115888188,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.34,False,650.4591674804688
120,1202755520,39409858,136842034,1176403151728,1.0,0.9998503527238614,0.9682732599877695,0.8978483996246532,0.9317319612054915,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.36,False,650.4591674804688
121,1202569674,34417994,137027880,1176408143592,1.0,0.9998544332900023,0.9721759602861295,0.8977096669138886,0.9334600414004859,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.38,False,650.4591674804688
122,1175794890,29993990,163802664,1176412567596,1.0,0.9998354562832388,0.9751250069581003,0.8777224820164161,0.9238635629500648,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.4,False,650.4591674804688
123,1172122102,23007922,167475452,1176419553664,1.0,0.9998382694350378,0.9807486034674333,0.8749807720237148,0.9248505537031719,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.42,False,650.4591674804688
124,1170532436,10220340,169065118,1176432341246,1.0,0.9998477770641976,0.991344216835447,0.873794097716007,0.9288648661791394,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.44,False,650.4591674804688
125,1169039960,8624944,170557594,1176433936642,1.0,0.9998478644487782,0.9926762324573782,0.8726799750486854,0.9288184919174606,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.46,False,650.4591674804688
126,1168535398,8031758,171062156,1176434529828,1.0,0.9998479396952907,0.9931735660314489,0.8723033231217739,0.9288226588314245,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.48,False,650.4591674804688
127,1162487854,7760970,177109700,1176434800616,1.0,0.9998430349207064,0.993368102713855,0.8677888747473781,0.9263418384405996,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.5,False,650.4591674804688
128,1142328398,7602482,197269156,1176434959104,1.0,0.9998260530299172,0.9933887487220101,0.8527399849223672,0.9177066486961843,1,0.1,0,1e-05,10,True,8,0.0,1,1,0.52,False,650.4591674804688
