name,ult_org,score
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502451597325978
Community West Bancshares,Community Service,0.9487832344056506
Millennium Cell Inc,Millennium Credit Markets,0.9475559253419701
Rio Tinto Ltd,Rio Tinto Group,0.9474456320254888
Northwest Bancshares Inc,Northwest Alaska Native Assn,0.9467727845629792
CNH Global NV,CNH Global,0.9451305929523187
Federal Home Loan Mortgage Corp,Federal Home Loan Bank,0.9447132650192621
Clearly Canadian Beverage Corp,Clear Channel Communications,0.9434779469681049
Alexander's Inc.,Alexander & Baldwin,0.942314391659826
Citizens Inc.,Citizens Communications,0.9394809890209533
Allegheny Energy Supply Co LLC,Allegheny General Hospital,0.9375358818953946
Mobile Climate Control Industries Inc,"Mobile County, AL",0.936434829673479
Technology Select Sector SPDR Fund,Technology Systems Inc,0.9360340458767499
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345468703677425
Northeast Indiana Bancorp Inc,Northeast Ohio University,0.9345299445221151
Global Power Equipment Group Inc,Globallift Technologies,0.933929982933684
Louis Dreyfus Natural Gas Corp,Louis Dreyfus SAS,0.9337964075211775
Technicoil Corp,Technikon LLC,0.9331805001657039
Eastern Light Capital Inc,Eastern Pulp & Paper,0.9326066572680766
California Pizza Kitchen Inc,California Science Center,0.9323091223442967
Mitsubishi Electric Corp,Mitsubishi Gas Chemical,0.9315675834971388
Heritage Explorations Ltd,Heritage Environmental Services,0.9310278172523978
West Penn Power Co,West Penn Allegheny Health Systems,0.9310079672835007
Rockwell Medical Inc,Rockwell International,0.9296548271677849
Coast Dental Services Inc,Coast Development Group,0.9278197409242591
Triant Holdings Inc,Tanana Chiefs Conference,0.927093436517078
Universal Logistics Holdings Inc,University of Kentucky,0.9266353272008766
Spectrum Group International Inc,Spectrum Group,0.9266186974065752
Madison Oil Co,"Madison County, KY",0.9247206109897621
Edison Mission Energy,Edison Electric Institute,0.9240270226229037
Independent Bank Corp.,Independent Community Bankers of America,0.923726288492334
Spectrum Control Inc,Spectrum Consulting,0.9230724268430016
European American Resources,European Aeronautic Defence & Space,0.9228768641524795
Illinois Power Co,Illinois Institute of Technology,0.9227735535122629
Montana Mills Bread Co Inc.,Montana State University,0.9203385419409016
Citizens Republic Bancorp Inc,Citizens Commission On Holocaust Assets,0.9173689171247453
Educational Development Corp,Education Investment Co,0.9173501211513551
Universal American Corp,Universal Bearing,0.9172860969781129
Allied Domecq PLC (New),Allied Domecq,0.9126729375737881
Mitsubishi Electric Corp,Mitsubishi Motors,0.9124298583364557
Montgomery Financial Corp,Montgomery Air,0.9114241962935388
Park City Group Inc,"Park City, UT",0.9103082082906196
Pacific Rim Mining Corp,Pacific Mutual Holding,0.9089467949318027
Business Bancorp,Business Roundtable,0.9077159797682854
Cherokee International Corp,Cherokee Nation of Oklahoma,0.9075663940130975
Susquehanna Media Co,Susquehanna Pfaltzgraff,0.906788270937839
Alcatel ADS Optronics,Alcatel SA,0.9066945639645149
Dominion Resources Black Warrior Trust,Dominion Resources,0.9063065775797583
Southeastern Bank Financial Corp,Southeastern Colorado Water Conservancy,0.9053634968811511
United Defense Industries Inc.,United Defense,0.9047436128193395
Advanced Photonix Inc.,Advanced Concepts & Technologies Intl,0.9042335158190259
National Rural Utilities Cooperative Finance Corp,National Auto Dealers Assn,0.9041080623191274
Allegheny Technologies Inc,"Allegheny County, PA",0.9029717981991984
Express Scripts Holding Co,Express Trak,0.902292804475692
Fairfax Financial Holdings Ltd,Fairfax County Virginia,0.9021930400521013
Zions Bancorporation,Zions Bancorp,0.9011207315474318
Cemex SAB de CV,CEMEX SA de CV,0.9006235923380141
American Physicians Capital Inc,American Physical Therapy Assn,0.9001892544223095
Pioneer Natural Resources Co,Pioneer Natural Resources USA,0.9894976952926776
Technology Spectrum Inc,Technology Systems Inc,0.9650246122688587
E*TRADE Financial Corporation,E*TRADE Financial,0.9649587971782506
California Software Corp,California State University,0.9640019689694295
Intelligent Controls Inc,Intelligent Optical Systems,0.9633278665829806
Societe Generale Group,Societe Generale,0.9632810362330742
Electronic Game Card Inc,Electronic Warfare Assoc,0.9597401697613305
PNC Financial Services Group Inc.,PNC Financial Services,0.9564886581626921
Three Rivers Bancorp Inc,Three Rivers Holdings,0.9558977487220225
Northwest Pipe Co,Northwest Public Power Assn,0.9551348520978047
Valley Bancorp,Valley Health System,0.9530033213686497
ICTS International NV,ICTS International,0.951178402330508
